Name,Type,calories,protein,carbohydrate,total_fat,Tags,Allergens,Swap_Group,Goal
Cream puffs,Lunch,553,11.8,40.0,38.7,Veg,Dairy,Veg_Lunch,Maintain
Cream puffs,Dinner,553,11.8,40.0,38.7,Veg,Dairy,Veg_Dinner,Maintain
Chocolate eclairs,Lunch,598,10.6,65.6,33.8,Veg,,Veg_Lunch,Maintain
Chocolate eclairs,Dinner,598,10.6,65.6,33.8,Veg,,Veg_Dinner,Maintain
Cheese balls,Lunch,1703,5.5,12.0,181.4,Veg,,Veg_Lunch,Maintain
Cheese balls,Dinner,1703,5.5,12.0,181.4,Veg,,Veg_Dinner,Maintain
Minced meat patties,Lunch,664,17.2,38.1,48.9,Non-Veg,,Non-Veg_Lunch,Maintain
Minced meat patties,Dinner,664,17.2,38.1,48.9,Non-Veg,,Non-Veg_Dinner,Maintain
Cheese patties,Lunch,810,18.4,55.6,56.7,Veg,,Veg_Lunch,Maintain
Cheese patties,Dinner,810,18.4,55.6,56.7,Veg,,Veg_Dinner,Maintain
Hot cheese souffle,Lunch,442,23.0,13.5,33.1,Veg,,Veg_Lunch,Muscle Gain
Hot cheese souffle,Dinner,442,23.0,13.5,33.1,Veg,,Veg_Dinner,Muscle Gain
Hot potato souffle,Breakfast,188,8.3,12.8,11.5,Veg,,Veg_Breakfast,Maintain
Hot potato souffle,Snack,188,8.3,12.8,11.5,Veg,,Veg_Snack,Maintain
Hot fish souffle,Breakfast,214,16.8,5.5,13.9,Non-Veg,Fish,Non-Veg_Breakfast,Maintain
Hot fish souffle,Snack,214,16.8,5.5,13.9,Non-Veg,Fish,Non-Veg_Snack,Maintain
Hot spinach souffle,Breakfast,156,8.1,6.3,10.9,Veg,,Veg_Breakfast,Maintain
Hot spinach souffle,Snack,156,8.1,6.3,10.9,Veg,,Veg_Snack,Maintain
Plain cream cake,Lunch,884,15.4,118.0,40.4,Veg,Dairy,Veg_Lunch,Maintain
Plain cream cake,Dinner,884,15.4,118.0,40.4,Veg,Dairy,Veg_Dinner,Maintain
Apple cake (Seb ka cake),Lunch,725,12.4,98.7,32.2,Veg,,Veg_Lunch,Maintain
Apple cake (Seb ka cake),Dinner,725,12.4,98.7,32.2,Veg,,Veg_Dinner,Maintain
Marble cake,Lunch,885,15.8,117.2,40.7,Veg,,Veg_Lunch,Maintain
Marble cake,Dinner,885,15.8,117.2,40.7,Veg,,Veg_Dinner,Maintain
Chocolate cake,Lunch,839,15.0,112.8,38.0,Veg,,Veg_Lunch,Maintain
Chocolate cake,Dinner,839,15.0,112.8,38.0,Veg,,Veg_Dinner,Maintain
Orange cake,Lunch,894,15.2,120.7,40.5,Veg,,Veg_Lunch,Maintain
Orange cake,Dinner,894,15.2,120.7,40.5,Veg,,Veg_Dinner,Maintain
Fruit Loaf ,Lunch,810,13.4,116.2,33.3,Veg,,Veg_Lunch,Maintain
Fruit Loaf ,Dinner,810,13.4,116.2,33.3,Veg,,Veg_Dinner,Maintain
Banana cake (Kele ka cake),Lunch,973,14.4,100.0,58.3,Veg,,Veg_Lunch,Maintain
Banana cake (Kele ka cake),Dinner,973,14.4,100.0,58.3,Veg,,Veg_Dinner,Maintain
Chocolate chiffon cake,Lunch,779,14.4,94.7,39.5,Veg,,Veg_Lunch,Maintain
Chocolate chiffon cake,Dinner,779,14.4,94.7,39.5,Veg,,Veg_Dinner,Maintain
Christmas cake,Lunch,932,13.7,120.7,42.2,Veg,,Veg_Lunch,Maintain
Christmas cake,Dinner,932,13.7,120.7,42.2,Veg,,Veg_Dinner,Maintain
Strawberry and vanilla cake with butter icing,Lunch,926,9.7,110.6,51.0,Veg,,Veg_Lunch,Maintain
Strawberry and vanilla cake with butter icing,Dinner,926,9.7,110.6,51.0,Veg,,Veg_Dinner,Maintain
Eggless cake,Breakfast,795,20.3,115.4,29.4,Non-Veg,Eggs,Non-Veg_Breakfast,Muscle Gain
Swiss roll,Lunch,629,18.2,120.8,9.4,Veg,,Veg_Lunch,Maintain
Swiss roll,Dinner,629,18.2,120.8,9.4,Veg,,Veg_Dinner,Maintain
Pineapple pastry ,Lunch,520,15.2,72.6,19.7,Veg,,Veg_Lunch,Maintain
Pineapple pastry ,Dinner,520,15.2,72.6,19.7,Veg,,Veg_Dinner,Maintain
Black forest pastry,Lunch,583,15.2,86.2,21.2,Veg,,Veg_Lunch,Maintain
Black forest pastry,Dinner,583,15.2,86.2,21.2,Veg,,Veg_Dinner,Maintain
Coconut finger,Lunch,687,17.7,106.4,22.2,Veg,Nuts,Veg_Lunch,Maintain
Coconut finger,Dinner,687,17.7,106.4,22.2,Veg,Nuts,Veg_Dinner,Maintain
Pineapple cake ,Lunch,488,12.5,58.8,23.4,Veg,,Veg_Lunch,Maintain
Pineapple cake ,Dinner,488,12.5,58.8,23.4,Veg,,Veg_Dinner,Maintain
Chocolate walnut cookies (Chocolate aur akhrot ke cookies),Lunch,1062,16.4,117.8,59.0,Veg,Nuts,Veg_Lunch,Maintain
Chocolate walnut cookies (Chocolate aur akhrot ke cookies),Dinner,1062,16.4,117.8,59.0,Veg,Nuts,Veg_Dinner,Maintain
Chocolate chip cookies,Lunch,1063,14.5,145.0,48.4,Veg,,Veg_Lunch,Maintain
Chocolate chip cookies,Dinner,1063,14.5,145.0,48.4,Veg,,Veg_Dinner,Maintain
Sweet plain biscuit,Snack,951,14.6,125.7,44.2,Veg,,Veg_Snack,Maintain
Chocolate biscuit,Snack,949,14.7,128.9,42.7,Veg,,Veg_Snack,Maintain
Coconut biscuit (Nariyal ke biscuit),Snack,1087,14.4,107.2,67.9,Veg,Nuts,Veg_Snack,Maintain
Sweet and salty biscuit (Meethay aur namkeen biscuit),Snack,1019,15.4,112.7,56.0,Veg,,Veg_Snack,Maintain
Peanut biscuit,Snack,1002,21.1,116.8,51.0,Veg,Nuts,Veg_Snack,Muscle Gain
Pin wheel biscuit,Snack,1011,13.5,136.4,46.6,Veg,,Veg_Snack,Maintain
Saffron biscuit (Kesar biscuit),Snack,1146,15.1,149.2,55.0,Veg,,Veg_Snack,Maintain
Masala biscuit,Snack,984,15.2,113.0,51.9,Veg,,Veg_Snack,Maintain
Ice box cookies,Lunch,935,14.2,140.2,36.1,Veg,,Veg_Lunch,Maintain
Ice box cookies,Dinner,935,14.2,140.2,36.1,Veg,,Veg_Dinner,Maintain
Ginger bread man,Lunch,912,16.5,150.6,27.5,Veg,Gluten,Veg_Lunch,Maintain
Ginger bread man,Dinner,912,16.5,150.6,27.5,Veg,Gluten,Veg_Dinner,Maintain
Danish cookies,Lunch,1188,13.3,145.0,62.3,Veg,,Veg_Lunch,Maintain
Danish cookies,Dinner,1188,13.3,145.0,62.3,Veg,,Veg_Dinner,Maintain
Short bread cookies,Lunch,1107,15.1,162.0,45.0,Veg,Gluten,Veg_Lunch,Maintain
Short bread cookies,Dinner,1107,15.1,162.0,45.0,Veg,Gluten,Veg_Dinner,Maintain
Coffee biscuit,Snack,1041,17.2,116.4,57.5,Veg,,Veg_Snack,Maintain
Melting moments,Lunch,1094,14.3,139.6,54.4,Veg,,Veg_Lunch,Maintain
Melting moments,Dinner,1094,14.3,139.6,54.4,Veg,,Veg_Dinner,Maintain
Ginger biscuit (Adarak ke biscuit),Snack,1044,15.0,146.1,45.8,Veg,,Veg_Snack,Maintain
Soyabean muthias,Lunch,2098,6.2,9.2,226.1,Veg,Soy,Veg_Lunch,Maintain
Soyabean muthias,Dinner,2098,6.2,9.2,226.1,Veg,Soy,Veg_Dinner,Maintain
Soyabean tikki,Lunch,1745,8.8,11.0,185.0,Veg,Soy,Veg_Lunch,Maintain
Soyabean tikki,Dinner,1745,8.8,11.0,185.0,Veg,Soy,Veg_Dinner,Maintain
Soyabean namak paras,Lunch,2096,6.6,11.6,224.6,Veg,Soy,Veg_Lunch,Maintain
Soyabean namak paras,Dinner,2096,6.6,11.6,224.6,Veg,Soy,Veg_Dinner,Maintain
Peanut burfi (Moongfali ki burfi),Lunch,1377,23.3,120.4,92.1,Veg,Nuts,Veg_Lunch,Muscle Gain
Peanut burfi (Moongfali ki burfi),Dinner,1377,23.3,120.4,92.1,Veg,Nuts,Veg_Dinner,Muscle Gain
Spinach peanut namak paras (Palak moongfali namak paras),Lunch,1850,4.1,16.6,196.3,Veg,Nuts,Veg_Lunch,Maintain
Spinach peanut namak paras (Palak moongfali namak paras),Dinner,1850,4.1,16.6,196.3,Veg,Nuts,Veg_Dinner,Maintain
Gram flour and semolina chilla/cheela/savory pancake (Besan suji chilla/cheela),Lunch,1897,5.2,19.1,200.1,Veg,,Veg_Lunch,Maintain
Gram flour and semolina chilla/cheela/savory pancake (Besan suji chilla/cheela),Dinner,1897,5.2,19.1,200.1,Veg,,Veg_Dinner,Maintain
Rice moong dal cheela (Chawal aur moong dal ka cheela),Lunch,1995,6.8,27.8,206.1,Veg,,Veg_Lunch,Maintain
Rice moong dal cheela (Chawal aur moong dal ka cheela),Dinner,1995,6.8,27.8,206.1,Veg,,Veg_Dinner,Maintain
Split bengal gram sweet rice (Channa dal sweet rice),Lunch,475,10.4,102.7,1.6,Veg,,Veg_Lunch,Maintain
Split bengal gram sweet rice (Channa dal sweet rice),Dinner,475,10.4,102.7,1.6,Veg,,Veg_Dinner,Maintain
Sweet poori (Meethi poori),Lunch,1956,5.3,35.6,199.1,Veg,,Veg_Lunch,Maintain
Sweet poori (Meethi poori),Dinner,1956,5.3,35.6,199.1,Veg,,Veg_Dinner,Maintain
Wheat flour and moong dal burfi (Atta aur moong dal ki burfi),Lunch,1102,24.6,150.0,46.0,Veg,Gluten,Veg_Lunch,Muscle Gain
Wheat flour and moong dal burfi (Atta aur moong dal ki burfi),Dinner,1102,24.6,150.0,46.0,Veg,Gluten,Veg_Dinner,Muscle Gain
Spinach burfi (Palak burfi),Breakfast,181,4.1,19.1,10.2,Veg,,Veg_Breakfast,Maintain
Spinach burfi (Palak burfi),Snack,181,4.1,19.1,10.2,Veg,,Veg_Snack,Maintain
Sweet split chickpea roti (Sweet channa dal roti/Puranpoli),Lunch,916,23.8,156.6,19.8,Veg,Gluten,Veg_Lunch,Muscle Gain
Sweet split chickpea roti (Sweet channa dal roti/Puranpoli),Dinner,916,23.8,156.6,19.8,Veg,Gluten,Veg_Dinner,Muscle Gain
Sprouted moong daliya ,Breakfast,167,4.2,22.2,7.1,Veg,,Veg_Breakfast,Weight Loss
Sprouted moong daliya ,Snack,167,4.2,22.2,7.1,Veg,,Veg_Snack,Weight Loss
Sprouted moong poha ,Breakfast,481,14.0,66.5,17.2,Veg,,Veg_Breakfast,Maintain
Pearl millet ladoo (Bajra ladoo),Lunch,799,24.0,127.4,20.2,Veg,,Veg_Lunch,Muscle Gain
Pearl millet ladoo (Bajra ladoo),Dinner,799,24.0,127.4,20.2,Veg,,Veg_Dinner,Muscle Gain
Paushtik ladoo,Lunch,1214,19.1,150.9,62.4,Veg,,Veg_Lunch,Maintain
Paushtik ladoo,Dinner,1214,19.1,150.9,62.4,Veg,,Veg_Dinner,Maintain
Paushtik roti,Breakfast,223,10.8,39.9,2.3,Veg,Gluten,Veg_Breakfast,Weight Loss
Paushtik roti,Snack,223,10.8,39.9,2.3,Veg,Gluten,Veg_Snack,Weight Loss
Semolina carrot vada (Suji gajar vada),Lunch,1748,3.9,16.3,185.2,Veg,,Veg_Lunch,Maintain
Semolina carrot vada (Suji gajar vada),Dinner,1748,3.9,16.3,185.2,Veg,,Veg_Dinner,Maintain
Dhokla,Lunch,541,33.6,76.7,13.2,Veg,,Veg_Lunch,Muscle Gain
Dhokla,Dinner,541,33.6,76.7,13.2,Veg,,Veg_Dinner,Muscle Gain
Kashmiri tea (Kehwa),Snack,74,0.5,15.7,1.5,Veg,,Veg_Snack,Weight Loss
Steeped hot coffee,Snack,47,1.2,9.0,1.0,Veg,,Veg_Snack,Weight Loss
Hot chocolate,Breakfast,135,5.1,13.5,6.9,Veg,,Veg_Breakfast,Weight Loss
Hot chocolate,Snack,135,5.1,13.5,6.9,Veg,,Veg_Snack,Weight Loss
Cold coffee (with cream),Snack,124,2.9,18.0,4.9,Veg,Dairy,Veg_Snack,Weight Loss
Banana milkshake with ice cream (Kele ka milkshake ice cream ke saath),Snack,114,3.0,16.7,4.2,Veg,Dairy,Veg_Snack,Weight Loss
Flavoured milkshake,Snack,100,3.1,13.0,4.2,Veg,Dairy,Veg_Snack,Weight Loss
Jal jeera,Breakfast,90,1.3,20.1,0.8,Veg,,Veg_Breakfast,Weight Loss
Jal jeera,Snack,90,1.3,20.1,0.8,Veg,,Veg_Snack,Weight Loss
Gingo,Breakfast,144,0.4,37.3,0.2,Veg,,Veg_Breakfast,Weight Loss
Gingo,Snack,144,0.4,37.3,0.2,Veg,,Veg_Snack,Weight Loss
Mintade,Breakfast,120,0.1,31.8,0.1,Veg,,Veg_Breakfast,Weight Loss
Mintade,Snack,120,0.1,31.8,0.1,Veg,,Veg_Snack,Weight Loss
Canjee,Breakfast,19,0.7,1.3,1.3,Veg,,Veg_Breakfast,Weight Loss
Canjee,Snack,19,0.7,1.3,1.3,Veg,,Veg_Snack,Weight Loss
Cauliflower canjee (Phoolgobhi ki canjee),Breakfast,20,1.2,1.0,1.3,Veg,,Veg_Breakfast,Weight Loss
Cauliflower canjee (Phoolgobhi ki canjee),Snack,20,1.2,1.0,1.3,Veg,,Veg_Snack,Weight Loss
Potato canjee (Aloo canjee),Breakfast,48,1.3,8.1,1.2,Veg,,Veg_Breakfast,Weight Loss
