Name,Type,Calories,Protein,Carbs,Fats,Tags,Allergens,Swap_Group
Hot tea (Garam Chai),Snack,48,1.2,7.7,1.6,Veg,None,Veg_Snack
Instant coffee,Snack,69,1.9,11.0,2.2,Veg,None,Veg_Snack
Espreso coffee,Snack,77,2.6,9.9,3.2,Veg,None,Veg_Snack
Iced tea,Snack,31,0.1,8.1,0.0,Veg,None,Veg_Snack
Raw mango drink (Aam panna),Breakfast,107,0.5,27.2,0.1,Veg,None,Veg_Breakfast
Raw mango drink (Aam panna),Snack,107,0.5,27.2,0.1,Veg,None,Veg_Snack
Fruit Punch (with fresh juices),Breakfast,108,0.4,28.1,0.1,Veg,None,Veg_Breakfast
Fruit Punch (with fresh juices),Snack,108,0.4,28.1,0.1,Veg,None,Veg_Snack
Fruit Punch (with squashes),Breakfast,69,0.2,18.0,0.1,Veg,None,Veg_Breakfast
Fruit Punch (with squashes),Snack,69,0.2,18.0,0.1,Veg,None,Veg_Snack
Lemonade,Breakfast,62,0.1,16.4,0.0,Veg,None,Veg_Breakfast
