Name,Type,Calories,Protein,Carbs,Fats,Tags,Allergens,Swap_Group
Honey cake,Dinner,833,7.7,122.6,36.8,Veg,None,Veg_Dinner
Almond cardamom cake (Badam elaichi cake),Lunch,890,18.0,86.3,53.4,Veg,Nuts,Veg_Lunch
Almond cardamom cake (Badam elaichi cake),Dinner,890,18.0,86.3,53.4,Veg,Nuts,Veg_Dinner
Tutti frutti cake,Lunch,869,11.2,132.4,31.7,Veg,None,Veg_Lunch
Tutti frutti cake,Dinner,869,11.2,132.4,31.7,Veg,None,Veg_Dinner
Ham and Bean soup,Breakfast,144,15.9,6.3,6.2,Veg,None,Veg_Breakfast
Ham and Bean soup,Snack,144,15.9,6.3,6.2,Veg,None,Veg_Snack
Whey soup,Breakfast,103,5.2,9.4,5.0,Veg,None,Veg_Breakfast
Whey soup,Snack,103,5.2,9.4,5.0,Veg,None,Veg_Snack
Bottle gourd soup (Ghiya/Lauki soup),Breakfast,69,1.4,3.5,5.4,Veg,None,Veg_Breakfast
Bottle gourd soup (Ghiya/Lauki soup),Snack,69,1.4,3.5,5.4,Veg,None,Veg_Snack
Baked potato soup,Breakfast,220,8.6,8.8,16.8,Veg,None,Veg_Breakfast
Baked potato soup,Snack,220,8.6,8.8,16.8,Veg,None,Veg_Snack
Pumpkin soup,Breakfast,120,1.4,6.2,9.6,Veg,None,Veg_Breakfast
Pumpkin soup,Snack,120,1.4,6.2,9.6,Veg,None,Veg_Snack
Sweet corn soup,Breakfast,96,3.0,10.7,4.9,Veg,None,Veg_Breakfast
Sweet corn soup,Snack,96,3.0,10.7,4.9,Veg,None,Veg_Snack
Paneer soup,Breakfast,143,9.7,7.3,8.4,Veg,Dairy,Veg_Breakfast
Paneer soup,Snack,143,9.7,7.3,8.4,Veg,Dairy,Veg_Snack
Curried Cauliflower soup,Breakfast,111,20.2,9.4,29.3,Veg,None,Veg_Breakfast
Curried Cauliflower soup,Snack,111,20.2,9.4,29.3,Veg,None,Veg_Snack
Millet soup,Breakfast,83,16.9,12.3,18.9,Veg,None,Veg_Breakfast
Millet soup,Snack,83,16.9,12.3,18.9,Veg,None,Veg_Snack
Lemon coriander soup,Breakfast,162,3.4,15.5,9.4,Veg,None,Veg_Breakfast
Lemon coriander soup,Snack,162,3.4,15.5,9.4,Veg,None,Veg_Snack
Garlic soup,Lunch,487,5.9,17.5,44.1,Veg,None,Veg_Lunch
Garlic soup,Dinner,487,5.9,17.5,44.1,Veg,None,Veg_Dinner
Dal makhani,Breakfast,111,5.0,11.9,4.6,Veg,None,Veg_Breakfast
Dal makhani,Snack,111,5.0,11.9,4.6,Veg,None,Veg_Snack
Dalma,Breakfast,178,7.4,22.6,6.9,Veg,None,Veg_Breakfast
Dalma,Snack,178,7.4,22.6,6.9,Veg,None,Veg_Snack
Split bengal gram dal (Channa dal),Breakfast,149,6.2,15.0,6.9,Veg,None,Veg_Breakfast
Split bengal gram dal (Channa dal),Snack,149,6.2,15.0,6.9,Veg,None,Veg_Snack
Horsegram dal (Kulthi dal) ,Breakfast,83,4.4,12.3,1.7,Veg,None,Veg_Breakfast
Horsegram dal (Kulthi dal) ,Snack,83,4.4,12.3,1.7,Veg,None,Veg_Snack
Panchmel dal,Breakfast,166,6.9,16.1,8.0,Veg,None,Veg_Breakfast
Panchmel dal,Snack,166,6.9,16.1,8.0,Veg,None,Veg_Snack
Dal dhokli,Breakfast,103,4.4,12.8,3.7,Veg,None,Veg_Breakfast
Dal dhokli,Snack,103,4.4,12.8,3.7,Veg,None,Veg_Snack
Gujarati handvo ,Lunch,517,20.6,79.6,12.0,Veg,None,Veg_Lunch
Gujarati handvo ,Dinner,517,20.6,79.6,12.0,Veg,None,Veg_Dinner
Sev (Omapodi/Karapusa),Lunch,1522,12.8,32.2,150.2,Veg,None,Veg_Lunch
Sev (Omapodi/Karapusa),Dinner,1522,12.8,32.2,150.2,Veg,None,Veg_Dinner
Papdi,Lunch,1772,4.6,32.2,180.3,Veg,None,Veg_Lunch
Papdi,Dinner,1772,4.6,32.2,180.3,Veg,None,Veg_Dinner
Jowar dosa,Breakfast,735,21.2,101.3,25.7,Veg,None,Veg_Breakfast
Bread roll,Lunch,1088,7.1,40.3,100.6,Veg,Gluten,Veg_Lunch
Bread roll,Dinner,1088,7.1,40.3,100.6,Veg,Gluten,Veg_Dinner
Soya seekh kebab,Breakfast,172,8.1,15.0,8.8,Veg,Soy,Veg_Breakfast
Soya seekh kebab,Snack,172,8.1,15.0,8.8,Veg,Soy,Veg_Snack
Classic seasoned black beans,Breakfast,86,24.0,23.0,24.8,Veg,None,Veg_Breakfast
Classic seasoned black beans,Snack,86,24.0,23.0,24.8,Veg,None,Veg_Snack
Maa chaane ki dal,Lunch,861,49.5,107.8,23.8,Veg,None,Veg_Lunch
Maa chaane ki dal,Dinner,861,49.5,107.8,23.8,Veg,None,Veg_Dinner
Garlic chickpea soup (Lahasun aur chane ka shoraba),Breakfast,134,6.7,20.9,3.0,Veg,None,Veg_Breakfast
Garlic chickpea soup (Lahasun aur chane ka shoraba),Snack,134,6.7,20.9,3.0,Veg,None,Veg_Snack
White sauce (thin),Breakfast,172,5.0,9.9,12.6,Veg,None,Veg_Breakfast
White sauce (thin),Snack,172,5.0,9.9,12.6,Veg,None,Veg_Snack
White sauce (medium),Lunch,378,8.4,20.0,29.4,Veg,None,Veg_Lunch
White sauce (medium),Dinner,378,8.4,20.0,29.4,Veg,None,Veg_Dinner
White sauce (thick),Lunch,524,8.6,25.6,43.0,Veg,None,Veg_Lunch
White sauce (thick),Dinner,524,8.6,25.6,43.0,Veg,None,Veg_Dinner
Cheese sauce,Lunch,486,19.2,17.7,37.8,Veg,None,Veg_Lunch
Cheese sauce,Dinner,486,19.2,17.7,37.8,Veg,None,Veg_Dinner
Egg sauce,Breakfast,220,9.0,8.8,16.6,Non-Veg,Eggs,Non-Veg_Breakfast
Mushroom sauce,Breakfast,206,5.1,11.0,15.8,Veg,None,Veg_Breakfast
Mushroom sauce,Snack,206,5.1,11.0,15.8,Veg,None,Veg_Snack
Mustard sauce,Lunch,396,10.0,20.7,30.4,Veg,None,Veg_Lunch
Mustard sauce,Dinner,396,10.0,20.7,30.4,Veg,None,Veg_Dinner
Brown sauce,Breakfast,163,17.9,8.1,35.5,Veg,None,Veg_Breakfast
Brown sauce,Snack,163,17.9,8.1,35.5,Veg,None,Veg_Snack
Classic italian pasta,Breakfast,126,1.7,13.2,7.4,Veg,None,Veg_Breakfast
Classic italian pasta,Snack,126,1.7,13.2,7.4,Veg,None,Veg_Snack
