index,name,gif_url,ok,status,error
46,Band Bench Press,https://wger.de/media/exercise-images/192/Bench-press-1.png,True,206,
47,Band Bent-Over Hip Extension,https://wger.de/media/exercise-images/1594/e030d44e-d023-4fef-a3bd-934d70f65d96.gif,True,206,
48,Band Bicycle Crunch,https://wger.de/media/exercise-images/1594/e030d44e-d023-4fef-a3bd-934d70f65d96.gif,True,206,
49,Band Close-Grip Pulldown,https://wger.de/media/exercise-images/158/02e8a7c3-dc67-434e-a4bc-77fdecf84b49.webp,True,206,
50,Band Close-Grip Push-Up,https://wger.de/media/exercise-images/1551/a6a9e561-3965-45c6-9f2b-ee671e1a3a45.png,True,206,
51,Band Concentration Curl,https://wger.de/media/exercise-images/1649/441cc0e5-eca2-4828-8b0a-a0e554abb2ff.jpg,True,206,
52,Band Fixed Back Close Grip Pulldown,https://wger.de/media/exercise-images/1227/57415c3c-2963-4130-9f6f-79f6a96113b6.gif,True,206,
53,Band Fixed Back Underhand Pulldown,https://wger.de/media/exercise-images/1227/57415c3c-2963-4130-9f6f-79f6a96113b6.gif,True,206,
54,Band Front Lateral Raise,https://wger.de/media/exercise-images/1227/57415c3c-2963-4130-9f6f-79f6a96113b6.gif,True,206,
55,Band Front Raise,https://wger.de/media/exercise-images/256/b7def5bc-2352-499b-b9e5-fff741003831.png,True,206,
56,Band Hip Lift,https://wger.de/media/exercise-images/1594/e030d44e-d023-4fef-a3bd-934d70f65d96.gif,True,206,
57,Band Horizontal Pallof Press,https://wger.de/media/exercise-images/1194/074e1766-4208-4a67-a211-9721772d99b0.png,True,206,
58,Band Jack Knife Sit-Up,https://wger.de/media/exercise-images/1594/e030d44e-d023-4fef-a3bd-934d70f65d96.gif,True,206,
59,Band Kneeling One Arm Pulldown,https://wger.de/media/exercise-images/1227/57415c3c-2963-4130-9f6f-79f6a96113b6.gif,True,206,
60,Band Kneeling Twisting Crunch,https://wger.de/media/exercise-images/1594/e030d44e-d023-4fef-a3bd-934d70f65d96.gif,True,206,
61,Band Lying Hip Internal Rotation,https://wger.de/media/exercise-images/1594/e030d44e-d023-4fef-a3bd-934d70f65d96.gif,True,206,
62,Band Lying Straight Leg Raise,https://wger.de/media/exercise-images/1594/e030d44e-d023-4fef-a3bd-934d70f65d96.gif,True,206,
63,Band One Arm Overhead Biceps Curl,https://wger.de/media/exercise-images/1519/fab7f641-27d4-40b5-8edd-1a0a137bfd94.gif,True,206,
64,Band One Arm Single Leg Split Squat,https://wger.de/media/exercise-images/1594/e030d44e-d023-4fef-a3bd-934d70f65d96.gif,True,206,
65,Band One Arm Standing Low Row,https://wger.de/media/exercise-images/1227/57415c3c-2963-4130-9f6f-79f6a96113b6.gif,True,206,
66,Band One Arm Twisting Chest Press,https://wger.de/media/exercise-images/1227/57415c3c-2963-4130-9f6f-79f6a96113b6.gif,True,206,
67,Band One Arm Twisting Seated Row,https://wger.de/media/exercise-images/1227/57415c3c-2963-4130-9f6f-79f6a96113b6.gif,True,206,
68,Band Pull Through,https://wger.de/media/exercise-images/1594/e030d44e-d023-4fef-a3bd-934d70f65d96.gif,True,206,
69,Band Push Sit-Up,https://wger.de/media/exercise-images/1594/e030d44e-d023-4fef-a3bd-934d70f65d96.gif,True,206,
70,Band Reverse Fly,https://wger.de/media/exercise-images/1227/57415c3c-2963-4130-9f6f-79f6a96113b6.gif,True,206,
71,Band Reverse Wrist Curl,https://wger.de/media/exercise-images/51/f1730f56-7aca-4566-8338-3e42b1bee6e1.webp,True,206,
72,Band Seated Hip Internal Rotation,https://wger.de/media/exercise-images/1594/e030d44e-d023-4fef-a3bd-934d70f65d96.gif,True,206,
